MGI Gene/Marker ID	Symbol	Name	Chr	Qualifier	Annotated Term	Context	Proteoform	Evidence	Inferred From	Reference(s)
MGI:88603	Cyp2d11	cytochrome P450, family 2, subfamily d, polypeptide 11	15		mitochondrion			ISO	P10635 	J:164563 	
MGI:88604	Cyp2d12	cytochrome P450, family 2, subfamily d, polypeptide 12	15		mitochondrion			ISO	P10635 	J:164563 	
MGI:1929474	Cyp2d22	cytochrome P450, family 2, subfamily d, polypeptide 22	15		mitochondrion			ISO	A0A087X1C5 	J:164563 	
MGI:1929474	Cyp2d22	cytochrome P450, family 2, subfamily d, polypeptide 22	15		mitochondrion			ISO	P10635 	J:164563 	
MGI:1923529	Cyp2d26	cytochrome P450, family 2, subfamily d, polypeptide 26	15		mitochondrion			ISO	P10635 	J:164563 	
MGI:2385022	Cyp2d34	cytochrome P450, family 2, subfamily d, polypeptide 34	15		mitochondrion			ISO	P10635 	J:164563 	
MGI:1919004	Cyp2d40	cytochrome P450, family 2, subfamily d, polypeptide 40	15		mitochondrion			ISO	P10635 	J:164563 	
MGI:88607	Cyp2e1	cytochrome P450, family 2, subfamily e, polypeptide 1	7		mitochondrial inner membrane			ISO	RGD:2475 	J:155856 	
MGI:88607	Cyp2e1	cytochrome P450, family 2, subfamily e, polypeptide 1	7		mitochondrion			ISO	RGD:2475 	J:155856 	
MGI:1918769	Cyp2u1	cytochrome P450, family 2, subfamily u, polypeptide 1	3		mitochondrial inner membrane			IEA	KW-0999 	J:60000 	
MGI:1918769	Cyp2u1	cytochrome P450, family 2, subfamily u, polypeptide 1	3		mitochondrion			IEA	KW-0496 	J:60000 	
MGI:88582	Cyp11a1	cytochrome P450, family 11, subfamily a, polypeptide 1	9		mitochondrial crista			ISO	RGD:69325 	J:155856 	
MGI:88582	Cyp11a1	cytochrome P450, family 11, subfamily a, polypeptide 1	9		mitochondrial inner membrane			IBA	PTN001547321 	J:265628 	
MGI:88582	Cyp11a1	cytochrome P450, family 11, subfamily a, polypeptide 1	9		mitochondrial inner membrane			ISO	RGD:69325 	J:155856 	
MGI:88582	Cyp11a1	cytochrome P450, family 11, subfamily a, polypeptide 1	9		mitochondrion	is a part of liver|is a part of brain|is a part of metanephros|is a part of heart		HDA		J:86816 	
MGI:88582	Cyp11a1	cytochrome P450, family 11, subfamily a, polypeptide 1	9		mitochondrion			HDA		J:151002 	
MGI:88582	Cyp11a1	cytochrome P450, family 11, subfamily a, polypeptide 1	9		mitochondrion			IDA		J:34988 	
MGI:88582	Cyp11a1	cytochrome P450, family 11, subfamily a, polypeptide 1	9		mitochondrion			ISO	RGD:69325 	J:155856 	
MGI:88583	Cyp11b1	cytochrome P450, family 11, subfamily b, polypeptide 1	15		mitochondrial inner membrane			IBA	PTN001547321 	J:265628 	
MGI:88583	Cyp11b1	cytochrome P450, family 11, subfamily b, polypeptide 1	15		mitochondrion			HDA		J:151002 	
MGI:88583	Cyp11b1	cytochrome P450, family 11, subfamily b, polypeptide 1	15		mitochondrion			IDA		J:54615 	
MGI:88583	Cyp11b1	cytochrome P450, family 11, subfamily b, polypeptide 1	15		mitochondrion			ISO	RGD:2453 	J:155856 	
MGI:88583	Cyp11b1	cytochrome P450, family 11, subfamily b, polypeptide 1	15		mitochondrion			ISO	P15538 	J:164563 	
MGI:88583	Cyp11b1	cytochrome P450, family 11, subfamily b, polypeptide 1	15		mitochondrion			ISO	P19099 	J:164563 	
MGI:88584	Cyp11b2	cytochrome P450, family 11, subfamily b, polypeptide 2	15		mitochondrial inner membrane			IBA	PTN001547321 	J:265628 	
MGI:88584	Cyp11b2	cytochrome P450, family 11, subfamily b, polypeptide 2	15		mitochondrion		PR:P15539	HDA		J:151002 	
MGI:88584	Cyp11b2	cytochrome P450, family 11, subfamily b, polypeptide 2	15		mitochondrion	is a part of liver|is a part of brain|is a part of metanephros	PR:P15539	HDA		J:86816 	
MGI:88584	Cyp11b2	cytochrome P450, family 11, subfamily b, polypeptide 2	15		mitochondrion			ISO	P15538 	J:164563 	
MGI:88584	Cyp11b2	cytochrome P450, family 11, subfamily b, polypeptide 2	15		mitochondrion			ISO	P19099 	J:164563 	
MGI:88586	Cyp17a1	cytochrome P450, family 17, subfamily a, polypeptide 1	19		mitochondrion	is a part of liver|is a part of brain|is a part of metanephros|is a part of heart		HDA		J:86816 	
MGI:88593	Cyp24a1	cytochrome P450, family 24, subfamily a, polypeptide 1	2		mitochondrion	is a part of liver|is a part of brain|is a part of metanephros		HDA		J:86816 	
MGI:88593	Cyp24a1	cytochrome P450, family 24, subfamily a, polypeptide 1	2		mitochondrion			HDA		J:151002 	
MGI:88594	Cyp27a1	cytochrome P450, family 27, subfamily a, polypeptide 1	1		mitochondrial envelope			ISO	RGD:727915 	J:155856 	
MGI:88594	Cyp27a1	cytochrome P450, family 27, subfamily a, polypeptide 1	1		mitochondrial inner membrane			HDA		J:100953 	
MGI:88594	Cyp27a1	cytochrome P450, family 27, subfamily a, polypeptide 1	1		mitochondrial inner membrane			ISO	RGD:727915 	J:155856 	
MGI:88594	Cyp27a1	cytochrome P450, family 27, subfamily a, polypeptide 1	1		mitochondrion	is a part of liver|is a part of brain|is a part of metanephros|is a part of heart		HDA		J:86816 	
MGI:88594	Cyp27a1	cytochrome P450, family 27, subfamily a, polypeptide 1	1		mitochondrion			HDA		J:151002 	
MGI:88594	Cyp27a1	cytochrome P450, family 27, subfamily a, polypeptide 1	1		mitochondrion			IBA	PTN001209853 	J:265628 	
MGI:88594	Cyp27a1	cytochrome P450, family 27, subfamily a, polypeptide 1	1		mitochondrion			ISO	RGD:727915 	J:155856 	
MGI:1098274	Cyp27b1	cytochrome P450, family 27, subfamily b, polypeptide 1	10		mitochondrion	is a part of liver|is a part of brain|is a part of metanephros		HDA		J:86816 	
MGI:1098274	Cyp27b1	cytochrome P450, family 27, subfamily b, polypeptide 1	10		mitochondrion			HDA		J:151002 	
MGI:1098274	Cyp27b1	cytochrome P450, family 27, subfamily b, polypeptide 1	10		mitochondrion			IBA	PTN001209853 	J:265628 	
MGI:1098274	Cyp27b1	cytochrome P450, family 27, subfamily b, polypeptide 1	10		mitochondrion			ISO	RGD:69192 	J:155856 	
MGI:1923520	Cyrib	CYFIP related Rac1 interactor B	15		mitochondrion			ISO	Q9NUQ9 	J:164563 	
MGI:2138209	D2hgdh	D-2-hydroxyglutarate dehydrogenase	1		mitochondrion			IBA	PTN000202300 	J:265628 	
MGI:2138209	D2hgdh	D-2-hydroxyglutarate dehydrogenase	1		mitochondrion			ISO	RGD:1307976 	J:155856 	
MGI:2138209	D2hgdh	D-2-hydroxyglutarate dehydrogenase	1		mitochondrion			ISO	Q8N465 	J:164563 	
MGI:2138209	D2hgdh	D-2-hydroxyglutarate dehydrogenase	1		mitochondrion			ISS	P84850 	J:116238 	
MGI:1920347	Dact2	dishevelled-binding antagonist of beta-catenin 2	17		mitochondrion			HDA		J:151002 	
MGI:94859	Dao	D-amino acid oxidase	5	colocalizes_with	mitochondrial outer membrane			ISO	P14920 	J:164563 	
MGI:1929538	Dap3	death associated protein 3	3		mitochondrial matrix			IDA		J:65635 	
MGI:1929538	Dap3	death associated protein 3	3		mitochondrial ribosome			IEA	IPR008092 	J:72247 	
MGI:1929538	Dap3	death associated protein 3	3		mitochondrial small ribosomal subunit			IBA	PTN000301682 	J:265628 	
MGI:1929538	Dap3	death associated protein 3	3		mitochondrion			HDA		J:151002 	
MGI:1929538	Dap3	death associated protein 3	3		mitochondrion			ISO	P51398 	J:164563 	
MGI:2442510	Dars2	aspartyl-tRNA synthetase 2 (mitochondrial)	1		mitochondrion			HDA		J:151002 	
MGI:2442510	Dars2	aspartyl-tRNA synthetase 2 (mitochondrial)	1		mitochondrion			IBA	PTN000502598 	J:265628 	
MGI:2442510	Dars2	aspartyl-tRNA synthetase 2 (mitochondrial)	1		mitochondrion			ISO	Q6PI48 	J:164563 	
MGI:94865	Dbi	diazepam binding inhibitor	1		mitochondrion	is a part of liver|is a part of brain|is a part of metanephros|is a part of heart		HDA		J:86816 	
MGI:105386	Dbt	dihydrolipoamide branched chain transacylase E2	3		mitochondrial alpha-ketoglutarate dehydrogenase complex			ISO	P11182 	J:164563 	
MGI:105386	Dbt	dihydrolipoamide branched chain transacylase E2	3		mitochondrial nucleoid			ISO	P11182 	J:164563 	
MGI:105386	Dbt	dihydrolipoamide branched chain transacylase E2	3		mitochondrion	is a part of liver|is a part of brain|is a part of metanephros|is a part of heart		HDA		J:86816 	
MGI:105386	Dbt	dihydrolipoamide branched chain transacylase E2	3		mitochondrion			HDA		J:151002 	
MGI:105386	Dbt	dihydrolipoamide branched chain transacylase E2	3		mitochondrion			IBA	PTN000567862 	J:265628 	
MGI:105386	Dbt	dihydrolipoamide branched chain transacylase E2	3		mitochondrion			ISO	P11182 	J:164563 	
MGI:2444785	Dcaf5	DDB1 and CUL4 associated factor 5	12		mitochondrion			HDA		J:151002 	
MGI:91860	Dcaf8	DDB1 and CUL4 associated factor 8	1		mitochondrion			ISO	Q5TAQ9 	J:164563 	
MGI:1915337	Dcakd	dephospho-CoA kinase domain containing	11		mitochondrion			HDA		J:151002 	
MGI:102726	Dck	deoxycytidine kinase	5		mitochondrion			IBA	PTN002236975 	J:265628 	
MGI:1916555	Dcps	decapping enzyme, scavenger	9		mitochondrion			ISO	Q96C86 	J:164563 	
MGI:1343154	Dctn6	dynactin 6	8		mitochondrion			NAS		J:54917 	
MGI:1913672	Dctpp1	dCTP pyrophosphatase 1	7	NOT	mitochondrion			IDA		J:148425 	
MGI:1916469	Ddah1	dimethylarginine dimethylaminohydrolase 1	3		mitochondrion			HDA		J:151002 	
MGI:1859016	Ddah2	dimethylarginine dimethylaminohydrolase 2	17		mitochondrion			ISO	O95865 	J:164563 	
MGI:1921997	Ddit4	DNA-damage-inducible transcript 4	10		mitochondrion			IDA		J:158772 	
MGI:2144727	Ddx1	DEAD box helicase 1	12		mitochondrion			IDA		J:173994 	
MGI:104976	Ddx6	DEAD (Asp-Glu-Ala-Asp) box polypeptide 6	9		mitochondrion			ISO	RGD:1564560 	J:155856 	
MGI:1860494	Ddx21	DExD box helicase 21	10		mitochondrion			NAS		J:173994 	
MGI:1919236	Ddx28	DEAD box helicase 28	8		mitochondrial nucleoid			ISO	Q9NUL7 	J:164563 	
MGI:1919236	Ddx28	DEAD box helicase 28	8		mitochondrion			HDA		J:151002 	
MGI:1919236	Ddx28	DEAD box helicase 28	8		mitochondrion			IBA	PTN002775850 	J:265628 	
MGI:1919236	Ddx28	DEAD box helicase 28	8		mitochondrion			ISO	Q9NUL7 	J:164563 	
MGI:1914710	Decr1	2,4-dienoyl CoA reductase 1, mitochondrial	4		mitochondrion	is a part of liver|is a part of brain|is a part of metanephros|is a part of heart		HDA		J:86816 	
MGI:1914710	Decr1	2,4-dienoyl CoA reductase 1, mitochondrial	4		mitochondrion			HDA		J:151002 	
MGI:1914710	Decr1	2,4-dienoyl CoA reductase 1, mitochondrial	4		mitochondrion			IBA	PTN001212026 	J:265628 	
MGI:1914710	Decr1	2,4-dienoyl CoA reductase 1, mitochondrial	4		mitochondrion			ISO	Q16698 	J:164563 	
MGI:1097711	Degs1	delta(4)-desaturase, sphingolipid 1	1		mitochondrion			ISO	O15121 	J:164563 	
MGI:1914089	Dele1	DAP3 binding cell death enhancer 1	18		mitochondrial inner membrane			ISO	Q14154 	J:164563 	
MGI:1914089	Dele1	DAP3 binding cell death enhancer 1	18		mitochondrion			HDA		J:151002 	
MGI:1914089	Dele1	DAP3 binding cell death enhancer 1	18		mitochondrion			IBA	PTN002553466 	J:265628 	
MGI:1914089	Dele1	DAP3 binding cell death enhancer 1	18		mitochondrion			ISO	Q14154 	J:164563 	
MGI:1918730	Depp1	DEPP1 autophagy regulator	6		mitochondrion			HDA		J:151002 	
MGI:1918730	Depp1	DEPP1 autophagy regulator	6		mitochondrion			IBA	PTN002692967 	J:265628 	
MGI:1918730	Depp1	DEPP1 autophagy regulator	6		mitochondrion			ISO	Q9NTK1 	J:164563 	
MGI:1915050	Dgat2	diacylglycerol O-acyltransferase 2	7	colocalizes_with	mitochondrion			IDA		J:147912 	
MGI:2444813	Dglucy	D-glutamate cyclase	12		mitochondrial matrix			IDA		J:241368 	
MGI:2444813	Dglucy	D-glutamate cyclase	12		mitochondrion			HDA		J:151002 	
MGI:1351602	Dguok	deoxyguanosine kinase	6		mitochondrion	is a part of liver|is a part of brain|is a part of metanephros		HDA		J:86816 	
MGI:1351602	Dguok	deoxyguanosine kinase	6		mitochondrion			HDA		J:151002 	
MGI:1351602	Dguok	deoxyguanosine kinase	6		mitochondrion			IBA	PTN002236975 	J:265628 	
MGI:1351602	Dguok	deoxyguanosine kinase	6		mitochondrion		PR:Q9QX60-1	IDA		J:57021 	
MGI:1351602	Dguok	deoxyguanosine kinase	6		mitochondrion			IDA		J:57021 	
MGI:1351602	Dguok	deoxyguanosine kinase	6		mitochondrion		PR:Q9QX60-1	ISO	Q16854 	J:306100 	
MGI:94890	Dhfr	dihydrofolate reductase	13		mitochondrial inner membrane			ISO	Q86XF0 	J:164563 	
MGI:94890	Dhfr	dihydrofolate reductase	13		mitochondrial matrix			ISO	Q86XF0 	J:164563 	
MGI:94890	Dhfr	dihydrofolate reductase	13		mitochondrion			IBA	PTN000556119 	J:265628 	
MGI:94890	Dhfr	dihydrofolate reductase	13		mitochondrion			IDA		J:223303 	
MGI:94890	Dhfr	dihydrofolate reductase	13		mitochondrion			ISO	RGD:2500 	J:155856 	
MGI:94890	Dhfr	dihydrofolate reductase	13		mitochondrion			ISO	P00374 	J:164563 	
MGI:94890	Dhfr	dihydrofolate reductase	13		mitochondrion			ISO	Q86XF0 	J:164563 	
MGI:1928378	Dhodh	dihydroorotate dehydrogenase	8		mitochondrial inner membrane			IBA	PTN000234186 	J:265628 	
MGI:1928378	Dhodh	dihydroorotate dehydrogenase	8		mitochondrial inner membrane			ISO	RGD:68352 	J:155856 	
MGI:1928378	Dhodh	dihydroorotate dehydrogenase	8		mitochondrion	is a part of liver|is a part of brain|is a part of metanephros		HDA		J:86816 	
MGI:1928378	Dhodh	dihydroorotate dehydrogenase	8		mitochondrion			HDA		J:151002 	
MGI:1928378	Dhodh	dihydroorotate dehydrogenase	8		mitochondrion			ISO	Q02127 	J:164563 	
MGI:1196314	Dhrs1	dehydrogenase/reductase (SDR family) member 1	14		mitochondrial inner membrane			HDA		J:100953 	
MGI:1196314	Dhrs1	dehydrogenase/reductase (SDR family) member 1	14		mitochondrion			HDA		J:151002 	
MGI:1918662	Dhrs2	dehydrogenase/reductase member 2	14		mitochondrion			ISO	Q13268 	J:164563 	
MGI:90169	Dhrs4	dehydrogenase/reductase (SDR family) member 4	14		mitochondrion			IDA		J:86816 	
MGI:1917701	Dhrs13	dehydrogenase/reductase (SDR family) member 13	11		mitochondrial inner membrane			IBA	PTN002534708 	J:265628 	
MGI:2445096	Dhtkd1	dehydrogenase E1 and transketolase domain containing 1	2		mitochondrion			ISO	Q96HY7 	J:164563 	
MGI:2145374	Dhx29	DEAH (Asp-Glu-Ala-His) box polypeptide 29	13		mitochondrion			HDA		J:151002 	
MGI:1920081	Dhx30	DEAH (Asp-Glu-Ala-His) box polypeptide 30	9		mitochondrial nucleoid			ISO	Q7L2E3 	J:164563 	
MGI:1920081	Dhx30	DEAH (Asp-Glu-Ala-His) box polypeptide 30	9		mitochondrion			ISO	Q7L2E3 	J:164563 	
MGI:2141813	Dhx32	DEAH (Asp-Glu-Ala-His) box polypeptide 32	7		mitochondrion			IEA	KW-0496 	J:60000 	
MGI:1919412	Dhx36	DEAH (Asp-Glu-Ala-His) box polypeptide 36	3		mitochondrion			ISO	Q9H2U1 	J:164563 	
MGI:1919412	Dhx36	DEAH (Asp-Glu-Ala-His) box polypeptide 36	3		mitochondrion			NAS		J:173994 	
MGI:1913843	Diablo	diablo, IAP-binding mitochondrial protein	5		mitochondrial intermembrane space			ISO	NP_001008293 	J:120125 	
MGI:1913843	Diablo	diablo, IAP-binding mitochondrial protein	5		mitochondrial intermembrane space			TAS		J:180458 	
MGI:1913843	Diablo	diablo, IAP-binding mitochondrial protein	5		mitochondrion	is a part of liver|is a part of brain|is a part of metanephros		HDA		J:86816 	
MGI:1913843	Diablo	diablo, IAP-binding mitochondrial protein	5		mitochondrion			HDA		J:151002 	
MGI:1913843	Diablo	diablo, IAP-binding mitochondrial protein	5		mitochondrion			IBA	PTN001283560 	J:265628 	
MGI:1913843	Diablo	diablo, IAP-binding mitochondrial protein	5		mitochondrion	is a part of embryo,is a part of fibroblast		IDA		J:98322 	
MGI:1913843	Diablo	diablo, IAP-binding mitochondrial protein	5		mitochondrion			IDA		J:86711 J:100137 J:100749 	
MGI:1913843	Diablo	diablo, IAP-binding mitochondrial protein	5		mitochondrion			ISO	RGD:1310885 	J:155856 	
MGI:1913843	Diablo	diablo, IAP-binding mitochondrial protein	5		mitochondrion			ISO	Q9NR28 	J:164563 	
MGI:1913843	Diablo	diablo, IAP-binding mitochondrial protein	5		mitochondrion			ISS	NP_001008293 	J:137567 	
MGI:1913504	Dimt1	DIM1 dimethyladenosine transferase 1-like (S. cerevisiae)	13		mitochondrial matrix			IBA	PTN000197844 	J:265628 	
MGI:2385920	Dip2a	disco interacting protein 2 homolog A	10		mitochondrion			IDA		J:297616 	
MGI:2447658	Disc1	disrupted in schizophrenia 1	8		mitochondrion			IBA	PTN001801422 	J:265628 	
MGI:2447658	Disc1	disrupted in schizophrenia 1	8		mitochondrion			ISO	RGD:631359 	J:155856 	
MGI:2447658	Disc1	disrupted in schizophrenia 1	8		mitochondrion			ISO	Q9NRI5 	J:73065 	
MGI:2385311	Dlat	dihydrolipoamide S-acetyltransferase (E2 component of pyruvate dehydrogenase complex)	9		mitochondrial pyruvate dehydrogenase complex			IBA	PTN000568043 	J:265628 	
MGI:2385311	Dlat	dihydrolipoamide S-acetyltransferase (E2 component of pyruvate dehydrogenase complex)	9		mitochondrial pyruvate dehydrogenase complex			ISO	P10515 	J:164563 	
MGI:2385311	Dlat	dihydrolipoamide S-acetyltransferase (E2 component of pyruvate dehydrogenase complex)	9		mitochondrial pyruvate dehydrogenase complex			TAS		J:79566 	
MGI:2385311	Dlat	dihydrolipoamide S-acetyltransferase (E2 component of pyruvate dehydrogenase complex)	9		mitochondrion	is a part of liver,is a part of liver|is a part of brain,is a part of brain|is a part of metanephros,is a part of metanephros|is a part of heart,is a part of heart		HDA		J:86816 	
MGI:2385311	Dlat	dihydrolipoamide S-acetyltransferase (E2 component of pyruvate dehydrogenase complex)	9		mitochondrion			HDA		J:151002 	
MGI:2385311	Dlat	dihydrolipoamide S-acetyltransferase (E2 component of pyruvate dehydrogenase complex)	9		mitochondrion			ISO	RGD:619859 	J:155856 	
MGI:2385311	Dlat	dihydrolipoamide S-acetyltransferase (E2 component of pyruvate dehydrogenase complex)	9		mitochondrion			ISO	P10515 	J:164563 	
MGI:107450	Dld	dihydrolipoamide dehydrogenase	12		mitochondrial alpha-ketoglutarate dehydrogenase complex			ISO	P09622 	J:164563 	
MGI:107450	Dld	dihydrolipoamide dehydrogenase	12		mitochondrial pyruvate dehydrogenase complex			ISO	P09622 	J:164563 	
MGI:107450	Dld	dihydrolipoamide dehydrogenase	12		mitochondrion	is a part of EMAPA:16846|is a part of EMAPA:16894|is a part of EMAPA:17373|is a part of EMAPA:16105		HDA		J:86816 	
MGI:107450	Dld	dihydrolipoamide dehydrogenase	12		mitochondrion			HDA		J:151002 	
MGI:107450	Dld	dihydrolipoamide dehydrogenase	12		mitochondrion			IBA	PTN000530301 	J:265628 	
MGI:107450	Dld	dihydrolipoamide dehydrogenase	12		mitochondrion	is a part of spermatocyte		IDA		J:100834 	
MGI:107450	Dld	dihydrolipoamide dehydrogenase	12		mitochondrion			ISO	RGD:735073 	J:155856 	
MGI:107450	Dld	dihydrolipoamide dehydrogenase	12		mitochondrion			ISO	P09622 	J:164563 	
MGI:2183453	Dlgap5	DLG associated protein 5	14		mitochondrion			ISO	Q15398 	J:164563 	
MGI:1926170	Dlst	dihydrolipoamide S-succinyltransferase (E2 component of 2-oxo-glutarate complex)	12		mitochondrion			HDA		J:151002 	
MGI:1926170	Dlst	dihydrolipoamide S-succinyltransferase (E2 component of 2-oxo-glutarate complex)	12		mitochondrion			ISO	RGD:1359615 	J:155856 	
MGI:1926170	Dlst	dihydrolipoamide S-succinyltransferase (E2 component of 2-oxo-glutarate complex)	12		mitochondrion			ISO	P36957 	J:164563 	
MGI:1914178	Dmac1	distal membrane arm assembly complex 1	4		mitochondrial inner membrane			ISO	Q96GE9 	J:164563 	
MGI:1914178	Dmac1	distal membrane arm assembly complex 1	4	colocalizes_with	mitochondrial respiratory chain complex I			ISO	Q96GE9 	J:164563 	
MGI:1914178	Dmac1	distal membrane arm assembly complex 1	4		mitochondrion			IEA	KW-0496 	J:60000 	
MGI:1913599	Dmac2	distal membrane arm assembly complex 2	7	colocalizes_with	mitochondrial respiratory chain complex I			ISO	Q9NW81 	J:164563 	
MGI:1913599	Dmac2	distal membrane arm assembly complex 2	7		mitochondrion			HDA		J:151002 	
MGI:1915305	Dmac2l	distal membrane arm assembly complex 2 like	12		mitochondrial inner membrane			IEA	KW-0999 	J:60000 	
MGI:1915305	Dmac2l	distal membrane arm assembly complex 2 like	12		mitochondrion	is a part of liver|is a part of brain|is a part of metanephros		HDA		J:86816 	
MGI:1915305	Dmac2l	distal membrane arm assembly complex 2 like	12		mitochondrion			HDA		J:151002 	
MGI:94909	Dmd	dystrophin, muscular dystrophy	X		matrix side of mitochondrial inner membrane			ISO	RGD:2507 	J:155856 	
MGI:94909	Dmd	dystrophin, muscular dystrophy	X		mitochondrial outer membrane			ISO	RGD:2507 	J:155856 	
MGI:1921379	Dmgdh	dimethylglycine dehydrogenase precursor	13		mitochondrial matrix			IBA	PTN001014589 	J:265628 	
MGI:1921379	Dmgdh	dimethylglycine dehydrogenase precursor	13		mitochondrion	is a part of liver|is a part of brain|is a part of metanephros|is a part of heart		HDA		J:86816 	
MGI:1921379	Dmgdh	dimethylglycine dehydrogenase precursor	13		mitochondrion			HDA		J:151002 	
MGI:1921379	Dmgdh	dimethylglycine dehydrogenase precursor	13		mitochondrion			IBA	PTN000354303 	J:265628 	
MGI:1921379	Dmgdh	dimethylglycine dehydrogenase precursor	13		mitochondrion			ISO	RGD:620453 	J:155856 	
MGI:1921379	Dmgdh	dimethylglycine dehydrogenase precursor	13		mitochondrion			ISO	Q9UI17 	J:164563 	
MGI:94906	Dmpk	dystrophia myotonica-protein kinase	7		integral component of mitochondrial outer membrane			IDA		J:96089 	
MGI:94906	Dmpk	dystrophia myotonica-protein kinase	7		integral component of mitochondrial outer membrane			ISO	Q09013 	J:164563 	
MGI:94906	Dmpk	dystrophia myotonica-protein kinase	7		mitochondrial outer membrane			IEA	KW-1000 	J:60000 	
MGI:94906	Dmpk	dystrophia myotonica-protein kinase	7		mitochondrion			IEA	KW-0496 	J:60000 	
MGI:2443732	Dna2	DNA replication helicase/nuclease 2	10	colocalizes_with	gamma DNA polymerase complex			ISO	P51530 	J:164563 	
MGI:2443732	Dna2	DNA replication helicase/nuclease 2	10		mitochondrial nucleoid			ISO	P51530 	J:164563 	
MGI:2443732	Dna2	DNA replication helicase/nuclease 2	10		mitochondrion			ISO	P51530 	J:164563 	
MGI:1270129	Dnaja1	DnaJ heat shock protein family (Hsp40) member A1	4		mitochondrion			IEA	KW-0496 	J:60000 	
MGI:1933786	Dnaja3	DnaJ heat shock protein family (Hsp40) member A3	16		mitochondrial matrix			ISO	Q96EY1 	J:164563 	
MGI:1933786	Dnaja3	DnaJ heat shock protein family (Hsp40) member A3	16		mitochondrial nucleoid			ISO	Q96EY1 	J:164563 	
MGI:1933786	Dnaja3	DnaJ heat shock protein family (Hsp40) member A3	16		mitochondrion			HDA		J:151002 	
MGI:1933786	Dnaja3	DnaJ heat shock protein family (Hsp40) member A3	16		mitochondrion			IBA	PTN001180543 	J:265628 	
MGI:1933786	Dnaja3	DnaJ heat shock protein family (Hsp40) member A3	16		mitochondrion			IDA		J:68871 J:104462 	
MGI:1933786	Dnaja3	DnaJ heat shock protein family (Hsp40) member A3	16		mitochondrion			IMP	MGI:3040718 	J:89091 	
MGI:1933786	Dnaja3	DnaJ heat shock protein family (Hsp40) member A3	16		mitochondrion			ISO	Q96EY1 	J:164563 	
MGI:1927346	Dnajc4	DnaJ heat shock protein family (Hsp40) member C4	19		mitochondrion			HDA		J:151002 	
MGI:2443386	Dnajc11	DnaJ heat shock protein family (Hsp40) member C11	4	colocalizes_with	MICOS complex			ISO	Q9NVH1 	J:164563 	
MGI:2443386	Dnajc11	DnaJ heat shock protein family (Hsp40) member C11	4		mitochondrial inner membrane			HDA		J:100953 	
MGI:2443386	Dnajc11	DnaJ heat shock protein family (Hsp40) member C11	4		mitochondrial outer membrane			ISO	Q9NVH1 	J:164563 	
MGI:2443386	Dnajc11	DnaJ heat shock protein family (Hsp40) member C11	4		mitochondrion			HDA		J:151002 	
MGI:2443386	Dnajc11	DnaJ heat shock protein family (Hsp40) member C11	4		mitochondrion			IBA	MGI:2443386 PTN002544243 Q9NVH1 	J:265628 	
MGI:2443386	Dnajc11	DnaJ heat shock protein family (Hsp40) member C11	4		mitochondrion			ISO	Q9NVH1 	J:164563 	
MGI:2443386	Dnajc11	DnaJ heat shock protein family (Hsp40) member C11	4	colocalizes_with	SAM complex			ISO	Q9NVH1 	J:164563 	
MGI:1913398	Dnajc15	DnaJ heat shock protein family (Hsp40) member C15	14		mitochondrial inner membrane	is a part of heart		IDA		J:204025 	
MGI:1913398	Dnajc15	DnaJ heat shock protein family (Hsp40) member C15	14		mitochondrion			HDA		J:151002 	
MGI:1913398	Dnajc15	DnaJ heat shock protein family (Hsp40) member C15	14		mitochondrion	is a part of CL:0000084		IDA		J:204025 	
MGI:1913398	Dnajc15	DnaJ heat shock protein family (Hsp40) member C15	14		PAM complex, Tim23 associated import motor			IBA	PTN000298641 	J:265628 	
MGI:1914963	Dnajc19	DnaJ heat shock protein family (Hsp40) member C19	3		inner mitochondrial membrane protein complex			IDA		J:215238 	
MGI:1914963	Dnajc19	DnaJ heat shock protein family (Hsp40) member C19	3		matrix side of mitochondrial inner membrane			IDA		J:215238 	
MGI:1914963	Dnajc19	DnaJ heat shock protein family (Hsp40) member C19	3		mitochondrial inner membrane			ISO	Q96DA6 	J:164563 	
MGI:1914963	Dnajc19	DnaJ heat shock protein family (Hsp40) member C19	3		mitochondrion			HDA		J:151002 	
MGI:1914963	Dnajc19	DnaJ heat shock protein family (Hsp40) member C19	3		mitochondrion			ISO	Q96DA6 	J:164563 	
MGI:1914963	Dnajc19	DnaJ heat shock protein family (Hsp40) member C19	3		PAM complex, Tim23 associated import motor			IBA	PTN000298641 	J:265628 	
MGI:2443036	Dnajc27	DnaJ heat shock protein family (Hsp40) member C27	12		mitochondrion			HDA		J:151002 	
MGI:1913364	Dnajc30	DnaJ heat shock protein family (Hsp40) member C30	5		mitochondrial inner membrane			ISO	Q96LL9 	J:164563 	
MGI:1913364	Dnajc30	DnaJ heat shock protein family (Hsp40) member C30	5		mitochondrion			HDA		J:151002 	
MGI:2447763	Dnd1	DND microRNA-mediated repression inhibitor 1	18		mitochondrion			ISO	Q8IYX4 	J:164563 	
MGI:106559	Dnlz	DNL-type zinc finger	2		mitochondrion			HDA		J:151002 	
MGI:106559	Dnlz	DNL-type zinc finger	2		mitochondrion			IBA	PTN000467874 	J:265628 	
MGI:106559	Dnlz	DNL-type zinc finger	2		mitochondrion			ISO	Q5SXM8 	J:164563 	
MGI:1921256	Dnm1l	dynamin 1-like	16	colocalizes_with	mitochondrial membrane			ISO	RGD:620416 	J:155856 	
