Basic information,,,,Log2 Fold Change,,,,,,,,,Adjusted P-value,,,,,,,,,Normalized Peak Area: Samples,,,,,,,,,,,,,,,,,,,,,,,,Norm. Peak Area: Blanks (noise),,,,,,,Group CV [%],,,,,,,,
ID,Name,Calc. MW,RT [min],"(P40, KO) / (P40, WT)","(P2, KO) / (P2, WT)","(E14_5, KO) / (E14_5, WT)","(P40, WT) / (P2, WT)","(P40, WT) / (E14_5, WT)","(P2, WT) / (E14_5, WT)","(P40, KO) / (P2, KO)","(P40, KO) / (E14_5, KO)","(P2, KO) / (E14_5, KO)","(P40, KO) / (P40, WT)","(P2, KO) / (P2, WT)","(E14_5, KO) / (E14_5, WT)","(P40, WT) / (P2, WT)","(P40, WT) / (E14_5, WT)","(P2, WT) / (E14_5, WT)","(P40, KO) / (P2, KO)","(P40, KO) / (E14_5, KO)","(P2, KO) / (E14_5, KO)",S01_P40_WT1,S02_P40_KO1,S03_P40_WT2,S04_P40_KO2,S05_P40_WT3,S06_P40_KO3,S07_P40_WT4,S08_P40_KO4,S09_P2_WT1,S10_P2_KO1,S11_P2_WT2,S12_P2_KO2,S13_P2_WT3,S14_P2_KO3,S15_P2_WT4,S16_P2_KO4,S17_E14_5_WT1,S18_E14_5_KO1,S19_E14_5_WT2,S20_E14_5_KO2,S21_E14_5_WT3,S22_E14_5_KO3,S23_E14_5_WT4,S24_E14_5_KO4,blank01,blank02,blank03,blank04,blank05,blank06,blank07,"E14_5, KO","E14_5, WT","P2, KO","P2, WT","P40, KO","P40, WT",,,
,Name,Molecular Weight,RT [min],DeltaMass [ppm],DBID,Reference List Name,mzLogic Score,ChemSpider ID,KEGG,HMDB,Mass List Search Results ID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Choline glycerophosphate,257.1028,3.95,0.63,D16,RP_pos_2020,,64931,C00670,HMDB0000086,91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A054_RP,a-D-Glucose 1-phosphate,260.0296,3.84,0.6,0.8,-0.2,0.4,1.6,1.2,0.2,2.4,2.1,1.000000000000000000000000000000E+00,1.000000000000000000000000000000E+00,1.000000000000000000000000000000E+00,1.000000000000000000000000000000E+00,1.280619588007270000000000000000E-02,3.396388020294300000000000000000E-02,1.000000000000000000000000000000E+00,6.289603883645870000000000000000E-04,2.165748092944010000000000000000E-03,5.7E+07,6.1E+07,2.5E+07,6.4E+07,7.3E+07,3.5E+07,2.7E+07,9.2E+07,6.5E+07,6.0E+07,3.2E+07,4.5E+07,2.7E+07,7.8E+07,3.0E+07,3.6E+07,1.4E+07,1.3E+07,1.5E+07,9.7E+06,1.3E+07,1.9E+07,1.1E+07,1.1E+07,1.5E+05,1.7E+05,1.5E+05,2.0E+05,1.4E+05,1.5E+05,1.5E+05,32.1,11.6,33.8,45.8,37.0,51.8,,,
,Name,Molecular Weight,RT [min],DeltaMass [ppm],DBID,Reference List Name,mzLogic Score,ChemSpider ID,KEGG,HMDB,Mass List Search Results ID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,a-D-Glucose-1-phosphate,260.0297,3.99,-0.29,C069,RP_pos_2020,94.99556385,58977,C00103,HMDB0001586,96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,D-Fructose 6-phosphate,260.0297,3.98,-0.29,C031,RP_pos_2020,93.29714422,389526,C00085,HMDB0000124,95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,D-Glucose 6-phosphate,260.0297,3.89,-0.29,C016,RP_pos_2020,94.19474389,17216117,C00092,HMDB0001401,79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,D-Glucose 6-phosphate,260.0297,3.88,-0.29,C016,RP_neg_2020,94.19474389,17216117,C00092,HMDB0001401,350,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,a-D-Glucose 1-phosphate,260.0297,3.96,-0.29,C069,RP_neg_2020,94.99556385,58977,C00103,HMDB0001586,163,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,D-Fructose-6-phosphate,260.0297,3.95,-0.29,C031,RP_neg_2020,93.29714422,389526,C00085,HMDB0000124,140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A055_RP,Adenosine,267.0969,10.22,0.4,-0.5,-0.4,4.5,7.6,3.0,5.4,8.3,2.9,1.000000000000000000000000000000E+00,1.000000000000000000000000000000E+00,1.000000000000000000000000000000E+00,1.214796060354960000000000000000E-10,2.281058225189310000000000000000E-12,1.637659571170400000000000000000E-07,1.334419061735750000000000000000E-11,2.392565312536730000000000000000E-12,3.157249656652360000000000000000E-07,1.5E+09,2.9E+09,1.5E+09,2.0E+09,1.4E+09,1.8E+09,1.4E+09,1.9E+09,7.3E+07,3.9E+07,4.1E+07,5.3E+07,9.0E+07,6.5E+07,5.3E+07,3.8E+07,6.6E+06,5.7E+06,8.3E+06,5.8E+06,9.4E+06,1.0E+07,7.2E+06,6.2E+06,4.2E+05,3.3E+05,3.0E+05,2.9E+05,3.4E+05,3.3E+05,4.8E+05,29.9,16.0,26.8,33.2,23.3,1.7,,,
,Name,Molecular Weight,RT [min],DeltaMass [ppm],DBID,Reference List Name,mzLogic Score,ChemSpider ID,KEGG,HMDB,Mass List Search Results ID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Adenosine,267.0968,10.29,0.36,D12,RP_pos_2020,89.62817222,54923,C00212,HMDB0000050,395,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Adenosine,267.0968,10.24,0.36,A070,RP_neg_2020,89.62817222,54923,C00212,HMDB0000050,197,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A056_RP,Inosine,268.0809,10.54,0.4,0.1,-0.2,1.6,7.4,5.8,1.9,8.0,6.1,1.000000000000000000000000000000E+00,1.000000000000000000000000000000E+00,1.000000000000000000000000000000E+00,1.110983251213630000000000000000E-01,6.010425490643460000000000000000E-10,6.565621854703410000000000000000E-08,5.270645842059970000000000000000E-02,1.971461162259030000000000000000E-10,3.345794210790760000000000000000E-08,7.0E+08,1.0E+09,7.3E+08,8.6E+08,8.4E+08,1.0E+09,8.0E+08,9.7E+08,4.4E+08,2.7E+08,2.0E+08,2.5E+08,2.6E+08,4.6E+08,2.4E+08,2.7E+08,1.4E+06,1.2E+06,4.8E+06,5.1E+06,7.0E+06,6.7E+06,4.2E+06,3.0E+06,2.3E+05,8.9E+05,2.4E+05,8.3E+05,7.6E+05,2.0E+05,2.0E+05,59.5,52.6,32.3,37.1,8.4,8.2,,,
,Name,Molecular Weight,RT [min],DeltaMass [ppm],DBID,Reference List Name,mzLogic Score,ChemSpider ID,KEGG,HMDB,Mass List Search Results ID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Inosine,268.0808,10.58,0.41,A033,RP_pos_2020,30.56192095,21258279,C00294,HMDB0000195,435,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Inosine,268.0808,10.60,0.41,A033,RP_neg_2020,30.56192095,21258279,C00294,HMDB0000195,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A057_RP,Guanosine,283.0918,10.49,0.5,-0.1,-0.5,1.2,5.4,4.1,1.8,6.4,4.6,1.000000000000000000000000000000E+00,1.000000000000000000000000000000E+00,1.000000000000000000000000000000E+00,1.317791634852950000000000000000E-03,7.930610191541790000000000000000E-12,2.597125609809280000000000000000E-09,7.911984794259600000000000000000E-05,2.649371949895630000000000000000E-12,6.889248430989410000000000000000E-10,5.7E+07,9.1E+07,6.0E+07,7.1E+07,6.2E+07,1.1E+08,8.0E+07,8.1E+07,2.8E+07,2.5E+07,2.1E+07,2.4E+07,3.2E+07,3.4E+07,2.4E+07,2.5E+07,1.2E+06,1.1E+06,1.2E+06,1.0E+06,2.0E+06,1.9E+06,1.8E+06,8.6E+05,2.2E+05,7.9E+05,7.6E+05,7.1E+05,6.0E+05,6.8E+05,1.9E+05,37.6,28.1,17.8,18.8,20.1,15.8,,,
,Name,Molecular Weight,RT [min],DeltaMass [ppm],DBID,Reference List Name,mzLogic Score,ChemSpider ID,KEGG,HMDB,Mass List Search Results ID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Guanosine,283.0917,10.54,0.45,D5,RP_pos_2020,42.48742842,6544,C00387,HMDB0000133,429,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Guanosine,283.0917,10.58,0.45,D005,RP_neg_2020,42.48742842,6544,C00387,HMDB0000133,151,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A058_RP,Argininosuccinic acid,290.1227,4.15,0.2,0.8,0.2,1.3,-0.6,-1.9,0.8,-0.6,-1.3,1.000000000000000000000000000000E+00,1.000000000000000000000000000000E+00,1.000000000000000000000000000000E+00,8.417940540691220000000000000000E-03,7.002013598102330000000000000000E-01,3.706205149449210000000000000000E-04,1.172427608281880000000000000000E-01,9.794942102648710000000000000000E-01,9.781824687778020000000000000000E-03,9.1E+06,1.3E+07,8.6E+06,1.1E+07,1.1E+07,1.1E+07,1.0E+07,9.7E+06,5.3E+06,8.4E+06,3.8E+06,4.2E+06,3.6E+06,6.4E+06,3.8E+06,6.5E+06,8.9E+06,7.7E+06,1.4E+07,1.5E+07,1.7E+07,2.0E+07,1.5E+07,1.8E+07,1.1E+05,1.1E+05,9.8E+04,9.6E+04,9.3E+04,9.8E+04,9.5E+04,35.9,25.8,26.8,18.5,12.3,10.6,,,
,Name,Molecular Weight,RT [min],DeltaMass [ppm],DBID,Reference List Name,mzLogic Score,ChemSpider ID,KEGG,HMDB,Mass List Search Results ID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Argininosuccinic acid,290.1226,4.16,0.14,C107,RP_pos_2020,60.56695398,389016,C03406,HMDB0000052,146,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Argininosuccinic acid,290.1226,4.15,0.14,C107,RP_neg_2020,60.56695398,389016,C03406,HMDB0000052,381,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A059_RP,5-Deoxy-5'-(methylthio) adenosine (MTA),297.0897,12.83,0.2,0.0,0.2,-0.7,-1.7,-1.0,-0.5,-1.7,-1.2,1.000000000000000000000000000000E+00,1.000000000000000000000000000000E+00,1.000000000000000000000000000000E+00,8.826483918869360000000000000000E-02,3.981593162588180000000000000000E-05,1.918783211371450000000000000000E-02,5.531261854300010000000000000000E-01,2.933683138135520000000000000000E-05,1.803716458202780000000000000000E-03,1.4E+07,1.9E+07,1.2E+07,1.4E+07,1.3E+07,1.5E+07,1.2E+07,1.3E+07,2.1E+07,2.2E+07,2.1E+07,2.0E+07,1.9E+07,1.9E+07,1.9E+07,2.0E+07,4.2E+07,4.2E+07,2.2E+07,2.9E+07,4.2E+07,5.4E+07,3.8E+07,5.1E+07,1.8E+05,1.5E+05,1.3E+05,1.1E+05,9.9E+04,9.1E+04,8.4E+04,26.0,26.1,7.3,5.0,19.2,8.0,,,
,Name,Molecular Weight,RT [min],DeltaMass [ppm],DBID,Reference List Name,mzLogic Score,ChemSpider ID,KEGG,HMDB,Mass List Search Results ID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5'-S-Methyl-5'-thioadenosine (MTA),297.0896,12.78,0.59,C014,RP_pos_2020,,388321,C00170,HMDB0001173,522,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5-Deoxy-5'-(methylthio) adenosine (MTA),297.0896,12.95,0.59,C014,RP_neg_2020,93.08877095,388321,C00170,HMDB0001173,131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A060_RP,Thymidine 5'-monophosphate (5'-TMP),322.0567,10.04,-0.2,0.0,-0.1,-0.7,-1.7,-1.0,-0.9,-1.8,-0.9,1.000000000000000000000000000000E+00,1.000000000000000000000000000000E+00,1.000000000000000000000000000000E+00,5.159097731950110000000000000000E-02,1.236332302665980000000000000000E-05,8.580531358480240000000000000000E-03,1.495166224623370000000000000000E-02,8.536950975307290000000000000000E-06,1.882594537154130000000000000000E-02,9.7E+05,1.1E+06,9.7E+05,6.3E+05,7.5E+05,8.8E+05,9.4E+05,7.3E+05,1.9E+06,1.9E+06,1.5E+06,1.3E+06,1.2E+06,1.3E+06,1.6E+06,1.7E+06,2.4E+06,1.9E+06,3.2E+06,2.7E+06,3.6E+06,3.9E+06,2.8E+06,2.9E+06,2.0E+05,7.7E+04,8.1E+04,1.2E+05,7.2E+04,7.8E+04,7.8E+04,28.9,17.1,18.8,18.1,23.0,11.6,,,
,Name,Molecular Weight,RT [min],DeltaMass [ppm],DBID,Reference List Name,mzLogic Score,ChemSpider ID,KEGG,HMDB,Mass List Search Results ID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Thymidine 5'-monophosphate (5'-TMP),322.0566,10.11,0.43,C010,RP_pos_2020,83.92423593,9319,C00364,HMDB0062560,389,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Thymidine 5'-monophosphate (5'-TMP),322.0566,10.12,0.43,C010,RP_neg_2020,83.92423593,9319,C00364,HMDB0062560,113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A061_RP,Adenosine 5'-monophosphate (5'-AMP),347.0631,8.23,-0.1,0.1,0.1,0.9,2.1,1.2,0.7,1.9,1.3,1.000000000000000000000000000000E+00,1.000000000000000000000000000000E+00,1.000000000000000000000000000000E+00,1.654691806163940000000000000000E-01,1.426155923852330000000000000000E-05,3.321541880647820000000000000000E-03,1.203933127529890000000000000000E-01,1.719431562974970000000000000000E-05,5.837680236877890000000000000000E-03,3.3E+08,5.6E+08,3.7E+08,3.2E+08,3.3E+08,2.8E+08,2.9E+08,3.0E+08,2.8E+08,2.2E+08,1.7E+08,1.7E+08,1.4E+08,1.9E+08,1.9E+08,2.0E+08,5.5E+07,5.0E+07,7.8E+07,8.2E+07,8.8E+07,1.3E+08,7.9E+07,8.0E+07,4.4E+05,3.5E+05,3.1E+05,7.2E+05,2.6E+05,2.6E+05,9.5E+05,37.9,19.0,10.2,32.4,36.0,9.5,,,
,Name,Molecular Weight,RT [min],DeltaMass [ppm],DBID,Reference List Name,mzLogic Score,ChemSpider ID,KEGG,HMDB,Mass List Search Results ID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Adenosine 5'-monophosphate (5'-AMP),347.0631,8.24,0.13,C001,RP_pos_2020,93.15834453,5858,C00020,HMDB0000045,293,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Adenosine 5'-monophosphate (5'-AMP),347.0631,8.27,0.13,C001,RP_neg_2020,93.15834453,5858,C00020,HMDB0000045,344,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A062_RP,Inosine 5'-monophosphate (5'-IMP),348.0472,9.37,-0.1,0.0,0.0,-0.7,3.3,4.0,-0.8,3.2,3.9,1.000000000000000000000000000000E+00,1.000000000000000000000000000000E+00,1.000000000000000000000000000000E+00,4.928859237517000000000000000000E-01,3.001732017023550000000000000000E-08,1.975189215085100000000000000000E-08,1.537190830426920000000000000000E-01,3.513537040903020000000000000000E-08,8.158846154238120000000000000000E-09,1.3E+08,2.8E+08,1.6E+08,8.8E+07,1.4E+08,1.9E+08,1.9E+08,1.1E+08,1.8E+08,2.7E+08,2.5E+08,2.2E+08,2.6E+08,2.2E+08,2.5E+08,3.2E+08,1.5E+07,1.7E+07,1.7E+07,1.5E+07,1.5E+07,1.8E+07,1.6E+07,1.3E+07,4.1E+05,5.2E+05,4.2E+05,5.2E+05,4.2E+05,4.6E+05,6.9E+05,12.6,5.9,19.2,15.7,52.7,15.5,,,
,Name,Molecular Weight,RT [min],DeltaMass [ppm],DBID,Reference List Name,mzLogic Score,ChemSpider ID,KEGG,HMDB,Mass List Search Results ID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Inosine 5'-monophosphate (5'-IMP),348.0471,9.63,0.40,C003,RP_pos_2020,79.63654261,8264,C00130,HMDB0000175,328,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Inosine 5'-monophosphate (5'-IMP),348.0471,9.68,0.40,C003,RP_neg_2020,79.63654261,8264,C00130,HMDB0000175,65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A063_RP,Guanosine 5'-monophosphate (5'-GMP),363.0581,9.49,0.1,0.2,0.1,0.2,2.4,2.2,0.1,2.4,2.4,1.000000000000000000000000000000E+00,1.000000000000000000000000000000E+00,1.000000000000000000000000000000E+00,1.000000000000000000000000000000E+00,1.196411947041860000000000000000E-06,7.558317045922030000000000000000E-06,1.000000000000000000000000000000E+00,3.737113262532750000000000000000E-07,5.927488932515510000000000000000E-06,7.9E+07,1.7E+08,8.9E+07,7.8E+07,8.1E+07,8.8E+07,8.8E+07,9.3E+07,9.1E+07,8.9E+07,7.3E+07,6.8E+07,6.6E+07,8.3E+07,7.5E+07,8.9E+07,1.1E+07,1.1E+07,1.6E+07,1.7E+07,2.0E+07,2.6E+07,1.6E+07,1.6E+07,3.1E+05,4.4E+05,3.1E+05,5.2E+05,4.4E+05,4.9E+05,6.0E+05,35.1,23.0,12.0,13.8,39.4,6.0,,,
,Name,Molecular Weight,RT [min],DeltaMass [ppm],DBID,Reference List Name,mzLogic Score,ChemSpider ID,KEGG,HMDB,Mass List Search Results ID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Guanosine 5'-monophosphate (5'-GMP),363.0580,9.66,0.39,A013,RP_neg_2020,95.68656438,6545,C00144,HMDB0001397,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Guanosine 5'-monophosphate (5'-GMP),363.0580,9.56,0.39,A013,RP_pos_2020,95.68656438,6545,C00144,HMDB0001397,322,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A064_RP,S-Adenosyl-L-homocysteine,384.1218,9.87,0.6,-0.1,-0.4,0.5,1.0,0.5,1.2,2.0,0.8,1.000000000000000000000000000000E+00,1.000000000000000000000000000000E+00,1.000000000000000000000000000000E+00,2.094518679122630000000000000000E-01,9.427724712233480000000000000000E-04,1.897643775225860000000000000000E-01,1.144662578388320000000000000000E-03,7.624187932924390000000000000000E-07,1.107500390039250000000000000000E-02,4.8E+06,9.2E+06,5.7E+06,6.0E+06,5.8E+06,8.8E+06,4.6E+06,6.8E+06,4.6E+06,3.9E+06,3.5E+06,3.0E+06,2.6E+06,2.9E+06,3.7E+06,4.5E+06,2.6E+06,2.0E+06,2.6E+06,1.6E+06,2.8E+06,2.3E+06,1.9E+06,2.0E+06,2.3E+05,2.1E+05,2.2E+05,2.0E+05,1.9E+05,2.1E+05,2.0E+05,15.1,16.8,21.8,23.3,20.1,11.4,,,
,Name,Molecular Weight,RT [min],DeltaMass [ppm],DBID,Reference List Name,mzLogic Score,ChemSpider ID,KEGG,HMDB,Mass List Search Results ID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,S-Adenosyl-L-homocysteine,384.1216,9.89,0.42,C074,RP_pos_2020,90.32262778,388301,C00021,HMDB0000939,373,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,S-Adenosyl-L-homocysteine,384.1216,9.95,0.42,C074,RP_neg_2020,90.32262778,388301,C00021,HMDB0000939,134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A065_RP,S-(5'-Adenosyl)-L-methionine (SAM),398.1373,3.89,0.3,0.1,-0.1,-0.9,-1.7,-0.9,-0.6,-1.3,-0.6,1.000000000000000000000000000000E+00,1.000000000000000000000000000000E+00,1.000000000000000000000000000000E+00,4.122629543640930000000000000000E-03,3.808996015364550000000000000000E-07,1.261709817396720000000000000000E-03,1.912499768513020000000000000000E-02,6.914240736371300000000000000000E-06,1.171741989365540000000000000000E-02,1.1E+07,1.6E+07,1.2E+07,1.0E+07,1.5E+07,1.9E+07,1.1E+07,1.3E+07,2.3E+07,2.6E+07,2.2E+07,2.0E+07,1.8E+07,1.9E+07,2.0E+07,2.5E+07,3.7E+07,3.8E+07,3.8E+07,3.3E+07,4.2E+07,3.4E+07,3.4E+07,3.5E+07,9.4E+04,9.2E+04,8.9E+04,8.6E+04,9.2E+04,9.1E+04,9.6E+04,6.3,9.2,15.9,11.8,25.0,14.7,,,
,Name,Molecular Weight,RT [min],DeltaMass [ppm],DBID,Reference List Name,mzLogic Score,ChemSpider ID,KEGG,HMDB,Mass List Search Results ID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,S-(5'-Adenosyl)-L-methionine (SAM),398.1372,3.93,0.16,C007,RP_pos_2020,,31982,C00019,HMDB0001185,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A066_RP,Stearoyl-L-carnitine,427.3664,28.56,1.1,0.3,-0.1,0.1,-1.0,-1.2,0.9,0.2,-0.8,1.000000000000000000000000000000E+00,1.000000000000000000000000000000E+00,1.000000000000000000000000000000E+00,1.000000000000000000000000000000E+00,1.106172554992420000000000000000E-01,1.466713765560990000000000000000E-02,2.782521904183900000000000000000E-01,1.000000000000000000000000000000E+00,4.692764529726500000000000000000E-01,3.1E+07,7.0E+07,2.9E+07,7.0E+07,3.0E+07,5.1E+07,3.4E+07,6.4E+07,3.9E+07,5.8E+07,2.0E+07,2.7E+07,1.1E+07,2.1E+07,3.7E+07,4.3E+07,7.3E+07,6.1E+07,6.1E+07,4.4E+07,6.4E+07,6.2E+07,5.4E+07,6.0E+07,3.3E+05,2.5E+05,2.3E+05,3.0E+05,2.4E+05,2.5E+05,2.7E+05,14.8,12.6,45.0,50.1,14.1,6.6,,,
,Name,Molecular Weight,RT [min],DeltaMass [ppm],DBID,Reference List Name,mzLogic Score,ChemSpider ID,KEGG,HMDB,Mass List Search Results ID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Stearoyl-L-carnitine,427.3662,28.33,0.60,B039,RP_neg_2020,,4932275,,HMDB0000848,169,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A067_RP,CDP-ethanolamine,446.0606,4.37,0.1,-0.1,-0.4,0.5,-0.1,-0.6,0.7,0.4,-0.3,1.000000000000000000000000000000E+00,1.000000000000000000000000000000E+00,1.000000000000000000000000000000E+00,4.033018791888160000000000000000E-03,1.000000000000000000000000000000E+00,2.369824475280000000000000000000E-03,2.119333175785000000000000000000E-04,2.652269003639100000000000000000E-02,1.835335700822980000000000000000E-01,7.2E+07,9.2E+07,7.9E+07,7.0E+07,7.5E+07,8.7E+07,7.2E+07,6.8E+07,5.9E+07,4.7E+07,5.2E+07,4.6E+07,4.8E+07,4.7E+07,5.2E+07,5.8E+07,7.7E+07,6.9E+07,7.8E+07,5.4E+07,8.0E+07,5.7E+07,7.0E+07,6.0E+07,1.7E+05,1.7E+05,1.6E+05,1.6E+05,1.6E+05,1.7E+05,1.7E+05,10.2,5.8,11.6,9.1,15.2,4.2,,,
,Name,Molecular Weight,RT [min],DeltaMass [ppm],DBID,Reference List Name,mzLogic Score,ChemSpider ID,KEGG,HMDB,Mass List Search Results ID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CDP-ethanolamine,446.0604,4.44,0.46,C111,RP_pos_2020,38.86419392,110296,C00570,HMDB0001564,184,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CDP-ethanolamine,446.0604,4.46,0.46,C111,RP_neg_2020,38.86419392,110296,C00570,HMDB0001564,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A068_RP,1-Oleoyl-2-hydroxy-sn-glycero-3-PE,479.3015,30.93,0.5,0.1,-0.1,0.2,0.6,0.5,0.6,1.3,0.6,1.000000000000000000000000000000E+00,1.000000000000000000000000000000E+00,1.000000000000000000000000000000E+00,1.000000000000000000000000000000E+00,6.659538144466440000000000000000E-02,5.310686240293400000000000000000E-01,2.835582663416010000000000000000E-02,1.632092954117370000000000000000E-05,2.131681669166810000000000000000E-02,4.2E+07,7.6E+07,4.4E+07,5.6E+07,4.2E+07,6.0E+07,4.0E+07,5.8E+07,4.3E+07,4.7E+07,3.1E+07,3.1E+07,2.7E+07,3.4E+07,4.5E+07,4.3E+07,3.3E+07,2.8E+07,2.8E+07,1.8E+07,2.6E+07,2.6E+07,2.5E+07,2.4E+07,3.8E+05,3.4E+05,3.4E+05,3.7E+05,4.4E+05,4.3E+05,3.6E+05,19.1,12.8,19.7,23.8,14.7,3.1,,,
,Name,Molecular Weight,RT [min],DeltaMass [ppm],DBID,Reference List Name,mzLogic Score,ChemSpider ID,KEGG,HMDB,Mass List Search Results ID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1-oleoyl-3-sn-Phosphatidylethanolamine,479.3013,30.86,0.33,C054,RP_pos_2020,0,,,,778,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A069_RP,Cytidine 5'-diphosphocholine,488.1076,4.43,0.1,-0.1,0.1,1.3,0.3,-0.9,1.5,0.3,-1.1,1.000000000000000000000000000000E+00,1.000000000000000000000000000000E+00,1.000000000000000000000000000000E+00,2.467940323641360000000000000000E-05,4.905458518843790000000000000000E-01,7.583759147303970000000000000000E-04,6.401403528144560000000000000000E-06,5.382402744722690000000000000000E-01,1.855452640007440000000000000000E-04,2.2E+07,2.1E+07,2.0E+07,2.0E+07,1.8E+07,2.2E+07,2.0E+07,1.8E+07,9.3E+06,7.4E+06,8.3E+06,8.5E+06,5.7E+06,5.7E+06,7.9E+06,7.6E+06,1.1E+07,1.3E+07,1.6E+07,1.9E+07,2.0E+07,1.6E+07,1.5E+07,1.7E+07,1.1E+05,1.0E+05,9.4E+04,9.0E+04,8.7E+04,9.0E+04,8.5E+04,13.5,23.8,15.8,19.5,8.2,7.4,,,
,Name,Molecular Weight,RT [min],DeltaMass [ppm],DBID,Reference List Name,mzLogic Score,ChemSpider ID,KEGG,HMDB,Mass List Search Results ID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
